RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705234668 1 0.9084921 0.8374648 0.9704409 0.626061407812647
ESPH1705234672 1 0.9055862 0.8021706 0.9742960 0.620034286819159
ESPH1705234673 1 0.8895473 0.8275588 0.9685133 0.61772967834574
ESPH1705234674 1 0.8767279 0.8338474 0.9727669 0.623832941041827
ESPH1705234675 1 0.8723393 0.8578436 0.9704206 0.621589700770338
ESPH1705234677 1 0.8466985 0.8108015 0.9693298 0.612328964822588
ESPH1705234676 1 0.8906334 0.8631911 0.9721727 0.617449430909191
ESPH1705234679 1 0.8566001 0.8919638 0.9746516 0.621562913370096
ESPH1705234681 1 0.8831058 0.8587329 0.9827139 0.60949522041037
ESPH1705234678 1 0.8981289 0.9303489 0.9710002 0.613759367924303
ESPH1705234680 1 0.8880993 0.8904803 0.9750850 0.611551528944882
ESPH1705234682 1 0.8539349 0.9084161 0.9684695 0.625881766183735
ESPH1705234684 1 0.8063306 0.8829376 0.9706646 0.612282649900536
ESPH1705234685 1 0.8856331 0.8625871 0.9707763 0.616007486518757
ESPH1705234687 1 0.8946717 0.8622240 0.9737606 0.626230678608682
ESPH1705234683 1 0.8626437 0.8587285 0.9729595 0.618700964726474
ESPH1705234692 1 0.9103764 0.9018901 0.9772260 0.615908941591506
ESPH1705234694 1 0.8795380 0.8938256 0.9757311 0.626943939514416
ESPH1705234697 1 0.9207214 0.8227911 0.9771108 0.616007683825429
ESPH1705234688 1 0.8890003 0.9198775 0.9702211 0.627338616257154
ESPH1705234691 1 0.8637846 0.8728185 0.9711054 0.628623458354984
ESPH1705234695 1 0.9142969 0.9343713 0.9728252 0.618898816125348
ESPH1705234696 1 0.9251456 0.8927242 0.9749952 0.629893597119695
ESPH1705234702 1 0.8862128 0.9074315 0.9724473 0.620479869505627
ESPH1705234704 1 0.8716170 0.8492414 0.9723688 0.624005694371811
ESPH1705234705 1 0.8928045 0.9007301 0.9737048 0.622804885255466
ESPH1705234708 1 0.9050267 0.8578413 0.9720024 0.617467680072562
ESPH1705234713 1 0.8785723 0.9281387 0.9752949 0.635551211053992
ESPH1705234711 1 0.9112857 0.8967819 0.9812793 0.629252240399518
ESPH1705234718 1 0.8951820 0.9163289 0.9739985 0.629085606416667
ESPH1705234719 1 0.9145890 0.9192817 0.9760623 0.607296490989737
ESPH1705234722 1 0.9021123 0.8707652 0.9739915 0.630387085107985
ESPH1705234720 1 0.9110397 0.9281625 0.9725505 0.627713592049786
ESPH1705234716 1 0.8898146 0.9392169 0.9724955 0.632618917013585
ESPH1705234717 1 0.9061825 0.8691887 0.9754809 0.62967350636538
ESPH1705234752 1 0.8860478 0.8647742 0.9752415 0.631446797951447
ESPH1705292209 1 0.9198886 0.8284309 0.9730187 0.621375269109191
ESPH1705292208 1 0.9463454 0.9234723 0.9757488 0.624507004571972
